date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:53	191627/191627	---M--	200	added ('OK')	text/javascript	etag:%2232163a-2ec8b-61fc70eb59c80%22	https://brand-image.co.in/assets/js/app.min.js	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/js/app.min.js	(from https://brand-image.co.in/)
16:28:53	10673/10673	---M--	200	added ('OK')	text/javascript	etag:%2232163e-29b1-61fc70eb59c80%22	https://brand-image.co.in/assets/js/main.js	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/js/main.js	(from https://brand-image.co.in/)
16:28:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jan%202026%2010:58:52%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/Brand%20Image/img1.wsimg.com/traffic-assets/js/tccl.min.43.delayed	(from https://brand-image.co.in/)
16:28:53	104464/104464	---M-Z	200	added ('OK')	text/javascript	etag:%226b309239dc60d45e344f4d49a2c5f041%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/My%20Web%20Sites/Brand%20Image/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://brand-image.co.in/)
16:28:54	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e0cfb-207aa-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-brands-400.eot	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
16:28:54	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e0d06-207aa-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-brands-400d41d.eot?	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-brands-400d41dd41d.eot	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
16:28:55	76636/76636	---M--	200	added ('OK')	font/woff2	etag:%221e0d03-12b5c-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-brands-400.woff2	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
16:28:55	89824/89824	---M--	200	added ('OK')	font/woff	etag:%221e0d02-15ee0-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-brands-400.woff	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
16:28:55	132728/132728	---M--	200	added ('OK')	font/ttf	etag:%221e0d01-20678-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-brands-400.ttf	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
16:28:56	572078/572078	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e0d2c-8baae-61fc70e5a0f00%22	https://brand-image.co.in/assets/fonts/fa-duotone-900.eot	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/fonts/fa-duotone-900.eot	(from https://brand-image.co.in/assets/css/fontawesome.min.css)
